domain,is_safe,total_vote,category
www.nytimes.com,safe,1,news,2022-02-07 15:28:57.805432
theteflacademy.co.uk,risk,0,business,2022-02-07 15:28:58.787058
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:28:59.366618
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:29:00.194020
tailormed.co,safe,0,Health,2022-02-07 15:29:00.990005
www.nytimes.com,safe,1,news,2022-02-07 15:29:24.872535
theteflacademy.co.uk,risk,0,business,2022-02-07 15:29:25.581664
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:29:26.502780
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:29:27.207299
tailormed.co,safe,0,Health,2022-02-07 15:29:29.095427
www.nytimes.com,safe,1,news,2022-02-07 15:38:47.245423
theteflacademy.co.uk,risk,0,business,2022-02-07 15:38:47.783412
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:38:48.773823
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:38:49.376029
tailormed.co,safe,0,Health,2022-02-07 15:38:50.329410
www.nytimes.com,safe,1,news,2022-02-07 15:39:53.276053
theteflacademy.co.uk,risk,0,business,2022-02-07 15:39:53.823951
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:39:54.376027
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:39:54.951354
tailormed.co,safe,0,Health,2022-02-07 15:39:55.605941
www.nytimes.com,safe,1,news,2022-02-07 15:40:26.215474
theteflacademy.co.uk,risk,0,business,2022-02-07 15:40:26.863294
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:40:27.448261
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:40:27.986055
www.nytimes.com,safe,1,news,2022-02-07 15:41:38.426243
theteflacademy.co.uk,risk,0,business,2022-02-07 15:41:39.100851
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:41:40.368680
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:41:40.970138
tailormed.co,safe,0,Health,2022-02-07 15:41:41.699056
www.nytimes.com,safe,1,news,2022-02-07 15:42:55.034209
theteflacademy.co.uk,risk,0,business,2022-02-07 15:42:55.800152
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:42:56.466940
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:42:57.084375
tailormed.co,safe,0,Health,2022-02-07 15:42:57.655007
www.nytimes.com,safe,1,news,2022-02-07 15:43:20.909361
theteflacademy.co.uk,risk,0,business,2022-02-07 15:43:21.512011
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 15:43:22.147123
vegweb.com,safe,0,Restaurants/Food,2022-02-07 15:43:22.788018
tailormed.co,safe,0,Health,2022-02-07 15:43:23.440966
www.nytimes.com,safe,1,news,2022-02-07 16:45:47.045851
theteflacademy.co.uk,risk,0,business,2022-02-07 16:45:47.727977
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 16:45:48.630782
vegweb.com,safe,0,Restaurants/Food,2022-02-07 16:45:49.509538
tailormed.co,safe,0,Health,2022-02-07 16:45:51.066618
www.nytimes.com,safe,1,news,2022-02-07 16:48:46.557150
theteflacademy.co.uk,risk,0,business,2022-02-07 16:48:47.286518
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 16:48:47.847903
vegweb.com,safe,0,Restaurants/Food,2022-02-07 16:48:48.491934
tailormed.co,safe,0,Health,2022-02-07 16:48:49.168447
www.nytimes.com,safe,1,news,2022-02-07 16:50:50.119651
theteflacademy.co.uk,risk,0,business,2022-02-07 16:50:50.789895
fourthgate.org,risk,1,"Information Technology, Suspicious",2022-02-07 16:50:51.357127
vegweb.com,safe,0,Restaurants/Food,2022-02-07 16:50:52.031873
tailormed.co,safe,0,Health,2022-02-07 16:50:53.772630
